rule,kind,hold,period,n,net_ret,hit,avg_bars,early_exit,per_bar_bp,rand_net,rand_hit,rand_avg_bars,rand_per_bar_bp,excess,excess_lo,excess_hi,excess_bar_bp,profit_factor
rising 3% +0.5%/bar / time 20,rising,20,train,586,0.021755882058147567,0.7662116040955631,11.848122866894197,0.5392491467576792,18.362302874945232,-0.006874860005713496,0.5883959044368601,13.799488054607508,-4.981967431333838,0.02863074206386106,0.023394264599773087,0.03417622200365539,23.34427030627907,2.4284099675771604
rising 3% +0.5%/bar / time 20,rising,20,test,371,0.012194192148382157,0.706199460916442,13.05121293800539,0.4716981132075472,9.343340121953284,-0.004533339004729917,0.5665768194070081,14.402964959568733,-3.1475040156354432,0.016727531153112075,0.00932102960666145,0.02454132750512169,12.490844137588727,1.5577516013294868
rising 3% +0.5%/bar / time 20,rising,20,all,957,0.018049103629178945,0.7429467084639498,12.314524555903866,0.5130616509926855,14.65676043540454,-0.005967123024140969,0.5799373040752351,14.033437826541276,-4.252075006778039,0.024016226653319917,0.019057888289677978,0.028583334864407547,18.90883544218258,2.0138820711559795
rising 2% +0.5%/bar / time 60,rising,60,train,586,0.02437808764772886,0.8549488054607508,21.766211604095563,0.6911262798634812,11.199968139215295,-0.015868268270713696,0.654778156996587,30.06911262798635,-5.27726523460641,0.04024635591844255,0.033892537954911935,0.04701923303176618,16.477233373821704,2.646737365022332
rising 2% +0.5%/bar / time 60,rising,60,test,363,0.025448634293085807,0.8071625344352618,25.214876033057852,0.6391184573002755,10.092706487916692,-0.015203585834413866,0.6275482093663912,31.65206611570248,-4.803347048132008,0.04065222012749967,0.029745011038396014,0.050460622643164796,14.8960535360487,2.3595312712409395
rising 2% +0.5%/bar / time 60,rising,60,all,949,0.02478758020016782,0.8366701791359326,23.085353003161224,0.6712328767123288,10.737362429230993,-0.015614021985806595,0.6443624868282403,30.674604847207586,-5.090211288321777,0.04040160218597442,0.03498202721897771,0.04589515057851531,15.82757371755277,2.5205875440611725
per-day 0.5% / time 20,perday,20,train,586,0.014045264008120886,0.8532423208191127,7.401023890784983,0.7337883959044369,18.977460707306523,-0.0035661102403092074,0.729863481228669,9.046587030716724,-3.941939903082632,0.017611374248430095,0.013401036342898421,0.021743353671628742,22.919400610389154,2.3771204732349873
per-day 0.5% / time 20,perday,20,test,373,0.006351982022285857,0.7989276139410187,8.450402144772118,0.6809651474530831,7.516780756067972,-0.0016936241603625135,0.7179624664879356,9.316621983914208,-1.8178521821392695,0.00804560618264837,0.001595390279482825,0.014896513069106207,9.33463293820724,1.3848611205004357
per-day 0.5% / time 20,perday,20,all,959,0.011052986447415501,0.8321167883211679,7.809176225234619,0.7132429614181439,14.153844309081942,-0.0028378127347616407,0.7252346193952033,9.151616266944734,-3.100886938421692,0.01389079918217714,0.010116101931454423,0.017277664328683613,17.254731247503635,1.8736467022145498
per-day 1% / time 20,perday,20,train,586,0.023558808246993104,0.7901023890784983,11.411262798634812,0.48976109215017066,20.645224514338206,-0.005747015504240835,0.6199658703071672,12.811092150170648,-4.48596843803382,0.029305823751233938,0.02361309627984163,0.035309356164012554,25.131192952372025,2.7030864824637795
per-day 1% / time 20,perday,20,test,371,0.01192173096734566,0.7277628032345014,12.433962264150944,0.4393530997304582,9.58803856250865,-0.004089437935613207,0.5973045822102426,13.399191374663072,-3.0520035286204257,0.016011168902958867,0.007305828523137805,0.024586450635314134,12.640042091129075,1.5623299653798053
per-day 1% / time 20,perday,20,all,957,0.019047464808383693,0.7659352142110762,11.80773249738767,0.4702194357366771,16.13134851471079,-0.005104422737301598,0.6111807732497387,13.039080459770116,-3.91471066771191,0.024151887545685292,0.019727591755843633,0.029428173704452238,20.046059182422702,2.1413048778447945
per-day 2% / time 20,perday,20,train,586,0.03114485845272625,0.7201365187713311,16.138225255972696,0.2150170648464164,19.298812576184396,-0.007401775041613754,0.5177474402730375,17.014334470989763,-4.350317113040259,0.03854663349434,0.03081964649300177,0.04611223592972239,23.649129689224655,2.7017794529171626
per-day 2% / time 20,perday,20,test,370,0.022054949462559214,0.6459459459459459,17.05945945945946,0.16486486486486487,12.928281529066712,-0.006519721105991964,0.49324324324324326,17.581891891891892,-3.708202249269099,0.02857467056855118,0.018309039362706,0.03823004485356799,16.636483778335812,1.8752042328369016
per-day 2% / time 20,perday,20,all,956,0.027626797441887545,0.6914225941422594,16.494769874476987,0.19560669456066945,16.748822597783306,-0.007060394334312435,0.5082635983263598,17.233995815899583,-4.096783131279817,0.03468719177619998,0.02845771715847034,0.04086857627500773,20.845605729063124,2.317365862982417
