rule,kind,hold,period,n,net_ret,hit,avg_bars,early_exit,per_bar_bp,rand_net,rand_hit,rand_avg_bars,rand_per_bar_bp,excess,excess_lo,excess_hi,excess_bar_bp,profit_factor
hybrid 2% day 1 then 6% / time 10,hybrid,10,train,433,-0.0006192225930755678,0.7136258660508084,5.706697459584295,0.5658198614318707,-1.0850804645961993,-0.0028969803405527166,0.6032332563510393,7.307852193995381,-3.964202153586342,0.0022777577474771492,-0.0049793873768490165,0.009332656489590531,2.8791216889901428,0.9718590635801856
hybrid 2% day 1 then 6% / time 10,hybrid,10,test,265,0.009492339084569229,0.7018867924528301,6.241509433962264,0.4981132075471698,15.208403007320713,-0.0053096486941321555,0.5509433962264151,7.6569811320754715,-6.934389157483719,0.014801987778701382,0.00960617095306717,0.020321288710955735,22.142792164804433,1.775750508325318
hybrid 2% day 1 then 6% / time 10,hybrid,10,all,698,0.0032196940896978866,0.7091690544412608,5.909742120343839,0.5401146131805158,5.448112665719091,-0.003812964744132303,0.5833810888252149,7.440401146131805,-5.1246763033934375,0.00703265883383019,0.002349225400853821,0.012156384593142116,10.572788969112528,1.1759794594911284
hybrid 2% day 1 then 6% / time 20,hybrid,20,train,433,0.006581921164640566,0.7759815242494227,9.360277136258661,0.6766743648960739,7.031758855882963,-0.004717847119281879,0.6480369515011547,12.714549653579677,-3.7105892444673483,0.011299768283922445,0.0038737118407293028,0.018392893038772094,10.742348100350311,1.3198278407530315
hybrid 2% day 1 then 6% / time 20,hybrid,20,test,265,0.012885938975687124,0.7471698113207547,10.18867924528302,0.6566037735849056,12.647310476137363,-0.006428206567406566,0.5849056603773585,13.416981132075472,-4.791097568169709,0.01931414554309369,0.01202469352066503,0.02671418790082186,17.438408044307074,1.8695120444549636
hybrid 2% day 1 then 6% / time 20,hybrid,20,all,698,0.008975280362244202,0.7650429799426934,9.674785100286533,0.669054441260745,9.276981627197472,-0.005367195620360736,0.6240687679083095,12.981232091690545,-4.134581049356901,0.014342475982604937,0.009256322557513682,0.020046814024561457,13.411562676554372,1.4879774756558681
trail 3% / time 60,trail,60,train,433,0.0007321449499908639,0.40877598152424943,9.524249422632794,0.9976905311778291,0.7687166909457906,-0.00392786501176815,0.36628175519630485,10.727944572748267,-3.6613397702910717,0.004660009961759012,-0.00340720022891548,0.012692952698669678,4.4300564612368625,1.026756047577252
trail 3% / time 60,trail,60,test,265,0.01114494708345627,0.43018867924528303,11.358490566037736,1.0,9.811996601713991,-0.01040802691937456,0.3150943396226415,9.75509433962264,-10.669324721033068,0.02155297400283083,0.013267923014465308,0.030311140413836365,20.481321322747057,1.616303341851697
trail 3% / time 60,trail,60,all,698,0.004685429427595925,0.4169054441260745,10.220630372492836,0.998567335243553,4.584286151474567,-0.006388098400759122,0.3468481375358166,10.358595988538681,-6.1669539074863655,0.011073527828355047,0.0054184659391067315,0.016832746289246796,10.751240058960931,1.1965328250769665
trail 5% / time 60,trail,60,train,433,0.0015228945872988384,0.418013856812933,16.263279445727484,0.9630484988452656,0.9364006763709132,-0.0077115032296375665,0.3304849884526559,17.69214780600462,-4.358715128425687,0.009234397816936406,-0.0002239864925693282,0.019474519215135027,5.2951158047966,1.0453733054987693
trail 5% / time 60,trail,60,test,265,0.015665736434514927,0.4679245283018868,21.128301886792453,0.9471698113207547,7.4145743081737026,-0.016325142211500467,0.3026415094339623,17.56377358490566,-9.294780607699433,0.0319908786460154,0.020742727917636348,0.043063667031682594,16.709354915873135,1.673802256003965
trail 5% / time 60,trail,60,all,698,0.006892311620984031,0.4369627507163324,18.110315186246417,0.9570200573065902,3.8057380835747594,-0.010981724333066894,0.31991404011461316,17.643409742120344,-6.224264183385187,0.01787403595405092,0.010600198313919798,0.025344003010189166,10.030002266959947,1.2324719556850259
trail 8% / time 60,trail,60,train,433,0.0040522462646574225,0.4457274826789838,25.94919168591224,0.836027713625866,1.5616078965794444,-0.012133849502599006,0.3260969976905312,28.15565819861432,-4.30955988206881,0.016186095767256426,0.004464734882805376,0.028600506620655646,5.871167778648255,1.096149517499639
trail 8% / time 60,trail,60,test,265,0.020784435664795875,0.4641509433962264,33.53584905660377,0.7811320754716982,6.197676888906163,-0.02419049253496415,0.29509433962264153,28.51622641509434,-8.483062303839588,0.04497492819976003,0.029796887405667643,0.05980375355289911,14.680739192745751,1.6232558840467786
trail 8% / time 60,trail,60,all,698,0.01040472504837761,0.45272206303724927,28.82951289398281,0.8151862464183381,3.6090533636970488,-0.01671122830428491,0.31432664756446993,28.292550143266475,-5.90658255253181,0.02711595335266252,0.016990272591666234,0.03629267910658865,9.51563591622886,1.2681258035452194
trail 5% / time 20,trail,20,train,433,0.00043512125017651303,0.44803695150115475,11.200923787528868,0.7066974595842956,0.388469074899856,-0.0022979432493517664,0.4,12.777367205542726,-1.7984481563267087,0.0027330644995282793,-0.0063338504283974965,0.011064719202631936,2.186917231226565,1.013491409630143
trail 5% / time 20,trail,20,test,265,0.013998380936421152,0.5207547169811321,14.045283018867925,0.5735849056603773,9.966606523781852,-0.012272091714988359,0.3539622641509434,12.966037735849056,-9.464797160861218,0.026270472651409513,0.017173005934761582,0.03509127833235242,19.431403684643072,1.6452173613612835
trail 5% / time 20,trail,20,all,698,0.005584496345957071,0.47564469914040114,12.28080229226361,0.6561604584527221,4.547338368499807,-0.006084690159657923,0.3825214899713467,12.848997134670487,-4.735537019647693,0.011669186505614996,0.005745902462967697,0.01801881075339623,9.2828753881475,1.1977230726729104
