rule,kind,hold,period,n,net_ret,hit,avg_bars,early_exit,per_bar_bp,rand_net,rand_hit,rand_avg_bars,rand_per_bar_bp,excess,excess_lo,excess_hi,excess_bar_bp,profit_factor
take 8% / time 60,target,60,train,607,0.03504651991496301,0.800658978583196,28.69851729818781,0.7397034596375618,12.211961876224198,-0.009116788715098712,0.6273476112026359,36.43525535420099,-2.5021887801995453,0.04416330863006173,0.034318966426684756,0.0536162380063253,14.714150656423744,2.2152350946561037
take 8% / time 60,target,60,test,499,0.02945997642565808,0.751503006012024,29.717434869739478,0.6993987975951904,9.913364513051038,-0.01664073679904043,0.5875751503006013,38.22885771543086,-4.35292545827847,0.04610071322469851,0.03518637100855105,0.05747649361534035,14.266289971329508,1.9752487750952488
take 8% / time 60,target,60,all,1106,0.03252600888316992,0.7784810126582279,29.158227848101266,0.7215189873417721,11.155001961234746,-0.012511409053151984,0.6094032549728752,37.24448462929475,-3.3592649160491,0.0450374179363219,0.03766668424855356,0.052250384361959876,14.514266877283845,2.1041987025692626
rising 2% +0.25%/bar / time 20,rising,20,train,607,0.005346882283659187,0.841845140032949,6.397034596375618,0.7808896210873146,8.358376374404138,-0.0033324020328417987,0.7421746293245469,8.992751235584844,-3.7056535264261377,0.008679284316500986,0.0033045984135186544,0.014190111473610524,12.064029900830276,1.3436524638258138
rising 2% +0.25%/bar / time 20,rising,20,test,513,0.004667309085665399,0.8206627680311891,6.8011695906432745,0.7758284600389863,6.862509489671394,-0.004617244716956183,0.7161793372319688,9.374463937621833,-4.92534266244936,0.009284553802621585,0.003799951340147061,0.014097868624538618,11.787852152120754,1.292243628815818
rising 2% +0.25%/bar / time 20,rising,20,all,1120,0.005035613488506677,0.8321428571428572,6.582142857142857,0.7785714285714286,7.65041658590271,-0.003920905869404905,0.7302678571428571,9.167589285714286,-4.276921388172126,0.008956519357911582,0.005018191284525046,0.012982613149222739,11.927337974074836,1.3197718003270626
rising 2% +0.5%/bar / time 20,rising,20,train,607,0.005107061052574653,0.8171334431630972,7.171334431630972,0.71499176276771,7.121493358402974,-0.004524190639373832,0.6948929159802306,10.463756177924218,-4.32367742753667,0.009631251691948483,0.0037124803291651515,0.015904232205011734,11.445170785939645,1.2999856552295515
rising 2% +0.5%/bar / time 20,rising,20,test,513,0.005642033109531967,0.797270955165692,7.637426900584796,0.7037037037037037,7.3873480990043365,-0.006059141674050755,0.6635477582846004,10.940545808966862,-5.538244416548841,0.011701174783582723,0.006357744550195505,0.0169022046940589,12.925592515553177,1.3309312933671638
rising 2% +0.5%/bar / time 20,rising,20,all,1120,0.0053520973608059946,0.8080357142857143,7.384821428571429,0.7098214285714286,7.2474296265297,-0.005227253032935672,0.6805357142857142,10.682142857142857,-4.89344984694747,0.010579350393741666,0.006222559676322911,0.014829943300217583,12.14087947347717,1.3141709580143925
rising 3% +0.5%/bar / time 20,rising,20,train,607,0.00958262487550959,0.7726523887973641,9.392092257001648,0.6161449752883031,10.2028649349839,-0.005462133997067653,0.6235584843492586,12.940362438220758,-4.221005418623091,0.015044758872577241,0.00781525391358252,0.021420108872292835,14.42387035360699,1.4601388706246081
rising 3% +0.5%/bar / time 20,rising,20,test,510,0.009619992431503516,0.7274509803921568,10.352941176470589,0.5803921568627451,9.292038144065897,-0.007102277012044268,0.5898039215686275,13.558823529411764,-5.238121874392736,0.016722269443547787,0.010262073796233962,0.023479653621087254,14.530160018458632,1.4447518802523065
rising 3% +0.5%/bar / time 20,rising,20,all,1117,0.009599686158908787,0.7520143240823635,9.830796777081469,0.5998209489704566,9.764911610510076,-0.006210990700414183,0.6081468218442256,13.222739480752015,-4.69720416820989,0.015810676859322966,0.011174362580650276,0.020592377345023276,14.462115778719966,1.4529685490012882
rising 2% +0.5%/bar / time 60,rising,60,train,607,0.019220982646994716,0.8764415156507414,17.98517298187809,0.7364085667215815,10.687126927476221,-0.0108781872575137,0.7092257001647446,27.27166392092257,-3.988824183612814,0.030099169904508418,0.022641320239204062,0.036498316111498376,14.675951111089034,2.300238570093765
rising 2% +0.5%/bar / time 60,rising,60,test,508,0.011179050915860028,0.8346456692913385,18.421259842519685,0.7362204724409449,6.068559377278151,-0.013898126472981616,0.6773622047244094,28.69232283464567,-4.843848493228223,0.025077177388841642,0.01706308085165221,0.03352474535784465,10.912407870506375,1.5356601772287115
rising 2% +0.5%/bar / time 60,rising,60,all,1115,0.015557035275320793,0.8573991031390135,18.183856502242154,0.736322869955157,8.555410274714024,-0.012254087814874866,0.6947085201793722,27.918923766816143,-4.389169123145005,0.02781112309019566,0.021893046459166052,0.03318083902976211,12.94457939785903,1.8861411615190748
per-day 0.5% / time 20,perday,20,train,607,0.009401873543888644,0.7973640856672158,7.624382207578254,0.7051070840197694,12.331325067286963,-0.002251207194092431,0.7400329489291598,8.787644151565074,-2.56178693090513,0.011653080737981075,0.004277183663573469,0.01911408811158965,14.893111998192094,1.4254856151681665
per-day 0.5% / time 20,perday,20,test,511,0.009785780911748145,0.7788649706457925,8.146771037181995,0.6829745596868885,12.011852140051168,-0.004962556181110083,0.7176125244618395,9.165949119373776,-5.414121458105069,0.014748337092858227,0.00879157467647769,0.02073468467872525,17.425973598156236,1.5219999109087008
per-day 0.5% / time 20,perday,20,all,1118,0.009577344621684889,0.7889087656529516,7.863148479427549,0.6949910554561717,12.180037864911506,-0.0034904731443303736,0.7297853309481216,8.960554561717352,-3.895376251870509,0.013067817766015264,0.008404782962567154,0.018347686822169595,16.075414116782014,1.4656975165807626
per-day 1% / time 20,perday,20,train,607,0.010866706940034308,0.7545304777594728,9.696869851729819,0.5733113673805601,11.206406919131542,-0.004061926341805991,0.6492586490939044,12.147116968698517,-3.343942725070507,0.0149286332818403,0.006551288078763849,0.022920008209899683,14.550349644202049,1.4344726416834874
