group,hold,target,stop,n,net_ret,hit,hit_lo,rand_net,rand_hit,excess,excess_lo,excess_hi,p,profit_factor,target_rate,stop_rate,avg_bars
Inverted Cup and Handle,1,0.01,,52,0.0014576327699890258,0.6730769230769231,0.5375593513988892,-0.0003318147484245123,0.5903846153846154,0.0017894475184135387,-0.0018909563541831696,0.005269136811917932,0.132,1.3144434676200052,0.6153846153846154,,1.0
Rectangle,1,0.01,,81,0.0009069147080706755,0.6296296296296297,0.5208353214633141,-0.00031746546791499056,0.5901234567901235,0.0012243801759856657,-0.0012051817415930763,0.0037988370210366284,0.158,1.2049284977703523,0.5185185185185185,,1.0
Rising Wedge,1,0.01,,489,-0.0007476220448153977,0.5807770961145194,0.5365787161813496,-0.0009056375843885545,0.5572597137014315,0.0001580155395731568,-0.0011069459652729907,0.0015520086648200058,0.384,0.8645737666040865,0.46421267893660534,,1.0
Symmetrical Triangle,1,0.01,,360,0.00022890944874816464,0.6,0.5485939761514368,-0.0009261980847585976,0.5611111111111111,0.001155107533506762,-0.0001693822625751554,0.0023306240576067895,0.03,1.0485051061710993,0.475,,1.0
Ascending Triangle,1,0.01,0.02,244,-0.0002812653237276582,0.5573770491803278,0.4946425795270632,-0.001176516367724498,0.5434426229508197,0.00089525104399684,-0.000601150707946855,0.002320907292470991,0.09,0.9442776161643258,0.48360655737704916,0.1557377049180328,1.0
Bear Flag,1,0.01,0.02,461,-0.003525229629374045,0.5075921908893709,0.46208048934738666,-0.002527647693848141,0.5258134490238612,-0.000997581935525904,-0.002299324892233464,0.0001410108896141929,0.954,0.552193445255933,0.4403470715835141,0.3188720173535792,1.0
Bull Flag,1,0.01,0.02,657,-0.0010163454855267296,0.578386605783866,0.5402774162142674,-0.0017748816630206588,0.5441400304414004,0.0007585361774939291,-0.00020728133110193515,0.0017211774237003755,0.062,0.8285981511601188,0.4901065449010654,0.2176560121765601,1.0
Cup and Handle,1,0.01,0.02,88,0.0024031845356030667,0.6931818181818182,0.5904365208409637,-0.000572659521149995,0.5704545454545454,0.002975844056753062,0.0007641675636540922,0.005066739315595522,0.004,1.7009823100773078,0.5568181818181818,0.10227272727272728,1.0
Descending Triangle,1,0.01,0.02,154,-0.0023463569229355942,0.525974025974026,0.44744089395152,-0.0019052894677717461,0.5233766233766234,-0.000441067455163848,-0.0025088948123196033,0.0015804624587050606,0.698,0.6665938765484694,0.4675324675324675,0.23376623376623376,1.0
Double Bottom,1,0.01,0.02,407,-0.0020744134841678293,0.5184275184275184,0.46993859792239695,-0.00158310813133942,0.5353808353808354,-0.0004913053528284093,-0.0016017765334601177,0.0006253309960124612,0.814,0.6812884246291678,0.4398034398034398,0.24078624078624078,1.0
Double Top,1,0.01,0.02,450,-0.0027181197253769106,0.5133333333333333,0.46723498760396276,-0.0018067604323339188,0.5228888888888888,-0.000911359293042991,-0.0021823106090697363,0.00018884563308894955,0.948,0.6259482176255531,0.4533333333333333,0.2822222222222222,1.0
Falling Wedge,1,0.01,0.02,336,-0.0007881196533925701,0.5773809523809523,0.523979087195548,-0.0014093600118244105,0.5434523809523809,0.0006212403584318405,-0.0008043783113827482,0.0020233037389819756,0.148,0.8587399301886348,0.46726190476190477,0.17559523809523808,1.0
Head and Shoulders,1,0.01,0.02,173,-0.0016839346346575186,0.5202312138728323,0.4461564696155206,-0.0017480665731631057,0.5265895953757226,6.413193850558725e-05,-0.001792833247866285,0.001703468090012666,0.486,0.7221019616261314,0.4393063583815029,0.23121387283236994,1.0
Inverse Head and Shoulders,1,0.01,0.02,128,-0.0016709462576556572,0.546875,0.46052480149159786,-0.0008212757792070289,0.56640625,-0.0008496704784486281,-0.0030010730011562226,0.0012272401123813992,0.792,0.7384927339592382,0.46875,0.2109375,1.0
Inverted Cup and Handle,1,0.01,0.02,52,-0.00115122338704416,0.5769230769230769,0.4419408497943149,-0.000988315667215355,0.5596153846153846,-0.0001629077198288043,-0.003785452410420493,0.0033159299395570173,0.524,0.8181606133320102,0.5192307692307693,0.2692307692307692,1.0
Rectangle,1,0.01,0.02,81,-0.0008009263476737997,0.5555555555555556,0.44727379297278025,-0.0009994955864886764,0.554320987654321,0.00019856923881487665,-0.002537885088189613,0.002815160636986547,0.412,0.8545567978140105,0.4567901234567901,0.19753086419753085,1.0
Rising Wedge,1,0.01,0.02,489,-0.0015148495450417513,0.5357873210633947,0.4914766287193371,-0.0015950643006954373,0.5175869120654397,8.021475565368597e-05,-0.001045002880131201,0.001224506861942353,0.434,0.7419754177269712,0.4212678936605317,0.18609406952965235,1.0
Symmetrical Triangle,1,0.01,0.02,360,-0.00022015689842110593,0.5722222222222222,0.5206156090807085,-0.0016759693368957713,0.5230555555555556,0.001455812438474666,0.0002744899309164613,0.0026380656990696184,0.004,0.9551109069205311,0.44722222222222224,0.1388888888888889,1.0
Ascending Triangle,1,0.02,,244,-0.000777760845747276,0.47950819672131145,0.4176273692117933,-0.00013978766642646585,0.5073770491803279,-0.0006379731793208104,-0.0027976131080578465,0.00130937954439851,0.762,0.8765030364763828,0.18442622950819673,,1.0
Bear Flag,1,0.02,,461,-0.0015695714153411621,0.5054229934924078,0.4599266733150912,-0.0009782257410476149,0.5123644251626898,-0.0005913456742935472,-0.00241892792560912,0.001070269903959253,0.718,0.8161286623577,0.279826464208243,,1.0
Bull Flag,1,0.02,,657,0.00109989038293549,0.5494672754946728,0.5112435019627862,-4.2669192497332345e-05,0.5234398782343987,0.001142559575432822,-0.0001616781174471296,0.0023853627478899932,0.038,1.190602953859065,0.2465753424657534,,1.0
Cup and Handle,1,0.02,,88,0.0006975784198634486,0.5681818181818182,0.46398482983322936,-0.0001247201167468129,0.5318181818181819,0.0008222985366102616,-0.0023114492297364887,0.0039425273307008065,0.292,1.1402316953898934,0.1590909090909091,,1.0
Descending Triangle,1,0.02,,154,-0.0017672909379771722,0.5,0.4219962757449466,-0.0009182265635249769,0.4974025974025974,-0.0008490643744521962,-0.0037781117078416887,0.0022656590476531524,0.752,0.7807070107372804,0.22077922077922077,,1.0
Double Bottom,1,0.02,,407,-0.0015735465501374758,0.47174447174447176,0.4237360640940624,-0.0005152628318795857,0.5012285012285013,-0.0010582837182578902,-0.0028896634985542224,0.0006344127973471968,0.924,0.7876424670728747,0.21867321867321868,,1.0
Double Top,1,0.02,,450,7.603716341545805e-05,0.5088888888888888,0.4628191515898911,-0.0006684227328567166,0.4935555555555556,0.0007444598962721746,-0.0010947215587422383,0.0022036445439060177,0.166,1.0109977729426785,0.2822222222222222,,1.0
Falling Wedge,1,0.02,,336,0.0005958074041691383,0.5357142857142857,0.4822844710376095,-0.00047048426287123955,0.5104166666666666,0.0010662916670403778,-0.0009839000504777862,0.002852256417998736,0.078,1.099619783526344,0.24702380952380953,,1.0
