group,hold,target,stop,n,net_ret,hit,hit_lo,rand_net,rand_hit,excess,excess_lo,excess_hi,p,profit_factor,target_rate,stop_rate,avg_bars
Descending Triangle,1,0.02,0.02,1644,-0.0007045372779485582,0.4854014598540146,0.46130403400004927,-0.0008801030034672922,0.4737226277372263,0.0001755657255187342,-0.0005520177039737073,0.0008803652604850598,0.276,0.8915010378168119,0.1989051094890511,0.21228710462287104,1.0
Double Bottom,1,0.02,0.02,5597,-0.0006171865054424466,0.488297302126139,0.4752140968448982,-0.0009616373631895667,0.476969805252814,0.0003444508577471203,-7.984666616434219e-05,0.0007496401531667027,0.026,0.9031552017390667,0.20064320171520458,0.2101125603001608,1.0
Double Top,1,0.02,0.02,6109,-0.0013765802547385144,0.46374201997053527,0.45126335787447164,-0.0010662023686812533,0.46225241447045345,-0.0003103778860572608,-0.0007240910405367857,0.00011159452696156209,0.96,0.8140766213202578,0.23064331314454084,0.2668194467179571,1.0
Falling Wedge,1,0.02,0.02,3183,0.00024663244683887736,0.5133521834747093,0.49598242674092213,-0.0007606554930380312,0.48206094879044925,0.0010072879398769089,0.0005231040083132789,0.0014822676045749175,0.0,1.0449677556413224,0.18190386427898209,0.1633678919258561,1.0
Head and Shoulders,1,0.02,0.02,1782,-0.0006472212761104921,0.4730639730639731,0.4499653134641669,-0.0011636602232275698,0.46402918069584737,0.0005164389471170778,-0.00016272531144705886,0.0012532464775343065,0.056,0.9045805775340658,0.23120089786756454,0.23961840628507294,1.0
Inverse Head and Shoulders,1,0.02,0.02,1728,-0.0007249308471969875,0.4774305555555556,0.45395559508591204,-0.000748327741411847,0.48443287037037036,2.3396894214859458e-05,-0.0006483183777812663,0.000653594806578982,0.466,0.8774172899942951,0.16145833333333334,0.1712962962962963,1.0
Inverted Cup and Handle,1,0.02,0.02,564,0.0008443476166662853,0.5443262411347518,0.5030615705894599,-0.0008674857557677381,0.4684397163120567,0.0017118333724340231,0.0004839710618605797,0.00314590977635701,0.0,1.1314609908967985,0.28191489361702127,0.24113475177304963,1.0
Rectangle,1,0.02,0.02,1337,-0.0009693387712817223,0.47344801795063574,0.446798589216155,-0.0008137242819514478,0.47920718025430065,-0.00015561448933027442,-0.0009371499261300012,0.0006688273073698585,0.688,0.8453051193008624,0.1667913238593867,0.20194465220643232,1.0
Rising Wedge,1,0.02,0.02,5611,-0.00020396057625005515,0.48191053288183927,0.46885298424449207,-0.000988529659468512,0.4584744252361433,0.0007845690832184569,0.0003949744390284125,0.0011675461172739458,0.0,0.9625505713751491,0.16663696310818035,0.1445375155943682,1.0
Symmetrical Triangle,1,0.02,0.02,3678,-3.535773868127226e-05,0.5097879282218597,0.4936300263602434,-0.0006491476917716083,0.4827079934747145,0.0006137899530903359,0.00015018391133002785,0.0011366080620714967,0.004,0.9935363300058,0.1653072321914084,0.15361609570418705,1.0
Triple Bottom,1,0.02,0.02,143,-0.0013979317039429218,0.44755244755244755,0.36848638099977826,-0.000765946568806347,0.47762237762237764,-0.0006319851351365744,-0.0026765052836178744,0.0014453683311761252,0.74,0.756535844742667,0.13286713286713286,0.16083916083916083,1.0
Triple Top,1,0.02,0.02,214,-0.0019750354380569705,0.4205607476635514,0.3563919557700949,-0.0006910652238263779,0.4677570093457944,-0.0012839702142305924,-0.0032549063627310137,0.0005869906749177182,0.934,0.7431687165395322,0.21495327102803738,0.26635514018691586,1.0
Ascending Triangle,1,,,3163,-0.00040389115813403817,0.5017388555169143,0.48432227534254685,-0.0002353179498946739,0.4968384445147012,-0.0001685732082393642,-0.0007675775850564924,0.00034350146648759466,0.742,0.9267071964487561,,,1.0
Bear Flag,1,,,4742,-0.0013238162236795126,0.4696330662167862,0.4554583236512361,-0.0004426398241101621,0.48363559679460144,-0.0008811763995693502,-0.0015919431542188373,-0.00017847389081664735,0.992,0.8491184295459858,,,1.0
Bull Flag,1,,,7707,-0.0010974393566934653,0.47800700661736084,0.4668684773926217,-0.0002208427141502285,0.4956922278448164,-0.0008765966425432367,-0.0013247060933074784,-0.0004344031301791907,1.0,0.8459424226062005,,,1.0
Cup and Handle,1,,,1224,-0.0004454378785631506,0.4820261437908497,0.4541328180473798,-0.00010124794184020077,0.49697712418300655,-0.00034418993672294965,-0.001328977235420501,0.0005926283000277073,0.786,0.9207727139284227,,,1.0
Descending Triangle,1,,,1644,-0.0002547412297702554,0.4951338199513382,0.47100457758561826,-0.0007099738355204652,0.47840632603406325,0.0004552326057502098,-0.00042891336329072016,0.001385958978648527,0.118,0.9622338745280942,,,1.0
Double Bottom,1,,,5597,-0.0004285179081704245,0.4900839735572628,0.4769985316704747,-0.0005940828370095557,0.48518849383598356,0.0001655649288391313,-0.00040425104936055606,0.0007001504142422648,0.208,0.9372779681807558,,,1.0
Double Top,1,,,6109,-0.0008563330566866687,0.4752005238173187,0.4626970989212981,-0.0008130271138982063,0.468570960877394,-4.330594278846242e-05,-0.0006649481798816611,0.0005147136952243542,0.578,0.8928196889684163,,,1.0
Falling Wedge,1,,,3183,0.00079607805087852,0.5177505497957902,0.5003802373308306,-0.0004452153508959254,0.4883757461514295,0.0012412934017744456,0.0005953608213416024,0.0018503336154463907,0.0,1.141892973898779,,,1.0
Head and Shoulders,1,,,1782,-0.0004315404731595137,0.47474747474747475,0.4516411219581065,-0.0009347177965865663,0.471324354657688,0.0005031773234270529,-0.0004576451052766419,0.0015398632060041138,0.14,0.9434314461204893,,,1.0
Inverse Head and Shoulders,1,,,1728,-0.0002969791845406188,0.4861111111111111,0.4626020124262684,-0.0003503896444306224,0.49189814814814814,5.3410459890003655e-05,-0.0008857809345784921,0.0008209231945233668,0.466,0.9494443569881159,,,1.0
