group,n,hit,stop,mean_ret,days,per_day_bp,bh_per_day_bp,edge_bp,ann,dim,tp,sl,period
above MA200,30025.0,0.8379350541215653,0.1611323896752706,0.00026569307323051736,3.2795004163197334,0.810163255074927,2.300046469048352,-1.489883213973425,0.020625104420827656,trend_x_period,0.01,0.05,test
above MA200,44868.0,0.8338459481144691,0.1661540518855309,-9.45605901957405e-05,3.5554292591602032,-0.2659611070930879,0.8401516066537056,-1.1061127137467934,-0.006679898648719207,trend_x_period,0.01,0.05,train
beaten-down,8953.0,0.8406120853345247,0.15916452585725455,0.0006239729929946469,2.4607394169552106,2.5357134066910603,3.6005392974542225,-1.0648258907631625,0.06597713654150872,trend_x_period,0.01,0.05,test
beaten-down,14460.0,0.825103734439834,0.17489626556016596,-0.0005640414118220311,2.1033886583679116,-2.681584354741598,4.912619523321655,-7.594203878063253,-0.06535171654206895,trend_x_period,0.01,0.05,train
below MA200,7476.0,0.8473782771535581,0.1523542001070091,0.0008663697916433768,3.0117710005350453,2.8766124366343417,4.894993864636277,-2.018381428001935,0.0751715271915141,trend_x_period,0.01,0.05,test
below MA200,9662.0,0.8414406955081764,0.15855930449182365,0.0004899056073889656,2.9229973090457464,1.676038516603706,5.469808289200759,-3.793769772597053,0.043137117122489244,trend_x_period,0.01,0.05,train
low vol,15081.0,0.8365493004442677,0.16205821895099795,0.00020929999674587074,4.367217028048538,0.47925256611163897,1.1074160836810436,-0.6281635175694046,0.012150095191923116,vol_x_period,0.01,0.05,test
low vol,23386.0,0.8470880013683401,0.15291199863165997,0.0007911583337724732,4.753100145386129,1.6645101293320252,2.0666678464419515,-0.40215771710992626,0.04283416437787446,vol_x_period,0.01,0.05,train
mid vol,16671.0,0.8521984284086137,0.14738168076300162,0.0011389965505091573,2.924539619698878,3.8946182942340606,5.103484981189292,-1.2088666869552318,0.10310096657761547,vol_x_period,0.01,0.05,test
mid vol,21795.0,0.8306492314751089,0.16935076852489103,-0.0004065513157371244,2.938472126634549,-1.3835466127179168,-0.37176522023278635,-1.0117813924851304,-0.03426690947850197,vol_x_period,0.01,0.05,train
high vol,14687.0,0.8300537890651597,0.16967386123782938,-0.00011617889644647602,1.9321849254442705,-0.6012824907003289,3.4579160019972144,-4.0591984926975435,-0.015038548712984712,vol_x_period,0.01,0.05,test
high vol,23779.0,0.8217755162117835,0.17822448378821648,-0.000713637890223512,1.8028512553093066,-3.9583847426230214,5.473800725416579,-9.4321854680396,-0.09495538977058637,vol_x_period,0.01,0.05,train
6m losers,15219.0,0.8451278007753467,0.15421512582955516,0.0008210330773325916,2.74341283921414,2.9927434383801286,4.463671562718561,-1.4709281243384333,0.07832170077467304,mom_x_period,0.01,0.05,test
6m losers,23118.0,0.8364477896011766,0.16355221039882342,0.00011073260225526215,2.457911584047063,0.4505149940053413,5.491319268988341,-5.0408042749829995,0.011417408830398879,mom_x_period,0.01,0.05,train
6m middle,15569.0,0.847453272528743,0.15164750465668958,0.0008761352815537015,3.4519879247222045,2.538060099454744,3.7981332562964942,-1.26007315684175,0.06604016074148888,mom_x_period,0.01,0.05,test
6m middle,22768.0,0.8438158819395642,0.1561841180604357,0.000497549507621597,3.716883345045678,1.3386201864118026,2.318297013971504,-0.9796768275597011,0.034306311005861456,mom_x_period,0.01,0.05,train
6m winners,15530.0,0.8286542176432711,0.17083065035415326,-0.0003170322090520786,3.046877012234385,-1.0405152809879499,0.7227493218679708,-1.7632646028559207,-0.025881529074213594,mom_x_period,0.01,0.05,test
6m winners,22807.0,0.8199675538211952,0.18003244617880476,-0.000875453724013432,3.3285833296794842,-2.6301090803628195,-0.9720542164347402,-1.6580548639280794,-0.06413820317463248,mom_x_period,0.01,0.05,train
above MA200,74893.0,0.9200993417275313,0.07855206761646616,0.0014591283696945543,5.46479644292524,2.670050723634091,3.212385980797548,-0.5423352571634567,0.06959096221054573,trend,0.01,0.1,
beaten-down,23413.0,0.9213684705078375,0.07820441634989109,0.0016674611101787193,3.4178020757698713,4.878752698993308,6.468081604339001,-1.589328905345693,0.13078783279443784,trend,0.01,0.1,
below MA200,17138.0,0.9236783755397363,0.07550472633912941,0.0018498202446494355,4.581806511845023,4.037316372629934,5.392221917997659,-1.3549055453677261,0.10707327086513474,trend,0.01,0.1,
low vol,38467.0,0.9231549120024957,0.07541529102867393,0.0018730756663055265,7.290014817895859,2.5693715487483177,3.1083584387120773,-0.5389868899637599,0.06688143517687517,vol,0.01,0.1,
mid vol,38466.0,0.9203452399521656,0.07848489575209276,0.0013736292640238227,4.681952893464358,2.93388100068521,3.5384950846808785,-0.6046140839956681,0.07672384900749152,vol,0.01,0.1,
high vol,38466.0,0.9193573545468726,0.07999272084438205,0.0014527072200882297,2.785056933395726,5.216077282545864,7.030993139198463,-1.8149158566525987,0.14043626527116904,vol,0.01,0.1,
6m losers,38337.0,0.9240942170748885,0.07494065785011868,0.0019351223599400435,3.9351540287450764,4.917526342818036,6.127743173280819,-1.210216830462783,0.13189271937742886,mom,0.01,0.1,
6m middle,38337.0,0.9238855413829982,0.07452330646633801,0.0018509889142464865,5.706836737355557,3.243458678483591,3.760961563872479,-0.5175028853888879,0.0851539934113541,mom,0.01,0.1,
6m winners,38337.0,0.9151211623236039,0.08417455721626627,0.0009460774294553678,5.132795993426716,1.8432009194734333,2.5883920425575093,-0.7451911230840761,0.047539816411445335,mom,0.01,0.1,
NASDAQ-100,21367.0,0.9166471661908551,0.08279122010577059,0.0012276477899692986,4.470819487995507,2.7459122276478105,5.144336543369707,-2.3984243157218965,0.0716371109483227,index,0.01,0.1,
S&P-only,94077.0,0.9218512495083815,0.07694760674766414,0.0016347230140063634,5.020259999787408,3.2562516962778596,3.735656387065679,-0.47940469078781955,0.08550377245433682,index,0.01,0.1,
(NASDAQ-only),2411.0,0.9029448361675654,0.0966403981750311,0.001355751732906332,4.593114890087101,2.9517043778554872,5.81497774060066,-2.8632733627451725,0.07720742484461351,sector,0.01,0.1,
Communication Services,5190.0,0.9096339113680154,0.09017341040462427,0.00044179946594376663,4.551637764932563,0.9706384575405956,2.6088015938533315,-1.6381631363127362,0.02476047475019838,sector,0.01,0.1,
Consumer Discretionary,10681.0,0.9218237992697313,0.07798895234528602,0.0017415181231384754,4.111131916487221,4.236103726456253,6.748799528715231,-2.5126958022589774,0.11263069868930353,sector,0.01,0.1,
Consumer Staples,7706.0,0.9225279003373994,0.07695302361796003,0.001536622009663122,6.387490267324163,2.405674130767547,2.383014792076198,0.022659338691348743,0.062490517750926955,sector,0.01,0.1,
Energy,4759.0,0.9148980878335785,0.08447152763185543,0.0008530104392416348,3.5971842824122713,2.371328161896688,2.1770962751430494,0.19423188675363873,0.06157152989962489,sector,0.01,0.1,
Financials,17355.0,0.9263036588879285,0.07167963123019302,0.002118647771370417,5.1309709017574185,4.129136204309315,3.6177534366682096,0.5113827676411055,0.10963680109017093,sector,0.01,0.1,
Health Care,13283.0,0.9205751712715501,0.07934954453060303,0.0012264890063471523,4.876910336520364,2.5148893904460055,3.801382454296614,-1.2864930638506082,0.06541803672671853,sector,0.01,0.1,
Industrials,18167.0,0.9271756481532449,0.07155832003082513,0.002343836622066982,5.015082292068035,4.673575597700651,5.337000779501108,-0.6634251818004568,0.12495900199894194,sector,0.01,0.1,
Information Technology,16249.0,0.914579358729768,0.0850513877777094,0.000845389929410934,3.901778570988984,2.1666783853309566,4.51439308357619,-2.3477146982452326,0.05611214873704551,sector,0.01,0.1,
Materials,5682.0,0.9142907426962337,0.08553326293558607,0.0014295412279374294,5.0492784230904615,2.831179246127736,3.1620515384278476,-0.3308722923001117,0.07394160090022606,sector,0.01,0.1,
Real Estate,6916.0,0.914545980335454,0.08328513591671487,0.0005583428400462996,5.647194910352805,0.988708285989402,1.6487109085698193,-0.6600026225804173,0.025227169877027222,sector,0.01,0.1,
Utilities,7045.0,0.9332860184528035,0.062029808374733854,0.0026395359747587934,6.641163946061036,3.974508077494966,3.907696289863119,0.06681178763184728,0.10532311607717615,sector,0.01,0.1,
test,46454.0,0.922934515865157,0.07437465019158737,0.00190031398340124,4.8901278684289835,3.886021050021623,4.1055181734969315,-0.219497123475309,0.10286209794590717,period,0.01,0.1,
train,68990.0,0.919510073923757,0.08048992607624293,0.0013298130385857288,4.93771561095811,2.693174624384034,3.8840430896485683,-1.1908684652645338,0.07021425115751923,period,0.01,0.1,
ALL,115444.0,0.9208880496171303,0.07802917431828418,0.0015593793295186468,4.918566577734659,3.1703938634837976,3.9726481009241636,-0.8022542374403662,0.08315844935277417,all,0.01,0.1,
above MA200,30025.0,0.9230641132389675,0.07357202331390508,0.0019134180937445695,5.287094088259783,3.619035450860229,3.97676590650149,-0.3577304556412616,0.09546967100127723,trend_x_period,0.01,0.1,test
above MA200,44868.0,0.9181153606133547,0.08188463938664527,0.0011551244255784427,5.58371222251939,2.0687391820082848,2.728046814606383,-0.6593076325980983,0.05350935666915957,trend_x_period,0.01,0.1,train
beaten-down,8953.0,0.9221490003350832,0.07673405562381325,0.001894664806729146,3.704456606724003,5.114555271858543,4.237388546994926,0.8771667248636168,0.13752385625350816,trend_x_period,0.01,0.1,test
beaten-down,14460.0,0.9208852005532503,0.07911479944674965,0.0015267865116160657,3.2403181189488244,4.711841416704367,8.047062843051489,-3.335221426347122,0.12604381232008022,trend_x_period,0.01,0.1,train
below MA200,7476.0,0.923354735152488,0.07477260567148207,0.0018544507096835809,4.715757089352595,3.9324559652799467,4.561202922234891,-0.6287469569549446,0.1041528733737207,trend_x_period,0.01,0.1,test
below MA200,9662.0,0.9239287932105155,0.07607120678948458,0.0018462374091500287,4.478161871248189,4.122757198670514,6.069340682341201,-1.9465834836706877,0.10945851381968108,trend_x_period,0.01,0.1,train
low vol,15081.0,0.9222863205357735,0.07406670645182681,0.0019431876769680863,7.239241429613421,2.6842421210309784,3.0785412862958057,-0.39429916526482695,0.06997343876115392,vol_x_period,0.01,0.1,test
low vol,23386.0,0.9237150431882323,0.07628495681176772,0.001827862323587573,7.322757205165484,2.496139462739795,3.127367417486071,-0.6312279547462767,0.06491487359479176,vol_x_period,0.01,0.1,train
mid vol,16671.0,0.9253794013556476,0.07192130046187992,0.002035190702774083,4.56289364765161,4.460307120727078,4.869727423674818,-0.4094203029477399,0.11893202359342037,vol_x_period,0.01,0.1,test
